,,,Original Canvass Results,,,,,,,,,,,,,,,,,,,Recount Canvass Results,,,,,,,,,,,,,,,,,
FLORENCE ,TOWN OF LONG LAKE,TOWN OF LONG LAKE Ward 1,109,75,29,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,110,76,29,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
FLORENCE ,TOWN OF TIPLER,TOWN OF TIPLER Ward 1,104,89,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,104,89,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FOND DU LAC ,TOWN OF ALTO,TOWN OF ALTO Wards 1-2,600,506,68,9,9,5,0,0,0,1,0,0,0,0,2,0,0,0,,607,506,68,9,9,5,0,0,0,1,0,0,0,0,2,0,0,7
FOND DU LAC ,TOWN OF ASHFORD,TOWN OF ASHFORD Wards 1-3,997,745,204,9,32,2,2,0,0,3,0,0,0,0,0,0,0,0,,1002,745,204,9,32,2,2,0,0,3,0,0,0,0,0,0,0,5
FOND DU LAC ,TOWN OF AUBURN,TOWN OF AUBURN Wards 1-3,1415,1084,264,9,41,8,1,1,0,7,0,0,0,0,0,0,0,0,,1421,1084,265,9,41,8,1,1,0,7,0,0,0,0,0,0,0,5
FOND DU LAC ,TOWN OF BYRON,TOWN OF BYRON Wards 1-2,965,697,212,6,32,10,0,1,0,7,0,0,0,0,0,0,0,0,,972,697,212,6,32,10,0,1,0,7,0,0,0,0,0,0,0,7
FOND DU LAC ,TOWN OF CALUMET,TOWN OF CALUMET Ward 1,510,339,148,1,17,0,1,1,0,3,0,0,0,0,0,0,0,0,,516,339,148,1,17,0,1,1,0,4,0,0,0,0,0,0,0,5
FOND DU LAC ,TOWN OF CALUMET,TOWN OF CALUMET Ward 2,333,225,81,0,23,2,1,0,0,1,0,0,0,0,0,0,0,0,,333,225,81,0,23,2,1,0,0,0,0,0,0,0,0,0,0,1
FOND DU LAC ,TOWN OF EDEN,TOWN OF EDEN Wards 1-2,620,473,121,5,17,3,1,0,0,0,0,0,0,0,0,0,0,0,,625,473,121,5,17,3,1,0,0,3,0,0,0,0,0,0,0,2
FOND DU LAC ,TOWN OF ELDORADO,TOWN OF ELDORADO Wards 1-3,845,607,197,3,33,4,0,0,0,1,0,0,0,0,0,0,0,0,,850,608,197,3,33,4,0,0,0,2,0,0,0,0,0,0,0,3
FOND DU LAC ,TOWN OF EMPIRE,TOWN OF EMPIRE Wards 1-4,1731,1095,548,5,57,6,1,0,0,19,0,0,0,0,0,0,0,0,,1749,1095,546,5,57,6,1,0,0,20,0,0,0,0,0,0,0,19
FOND DU LAC ,TOWN OF FOND DU LAC,TOWN OF FOND DU LAC Wards 1-8,1973,1210,661,11,61,14,3,0,0,13,0,0,0,0,0,0,0,0,,1983,1203,654,11,61,14,3,0,0,13,0,0,0,0,0,0,0,24
FOND DU LAC ,TOWN OF FOND DU LAC,TOWN OF FOND DU LAC Ward 1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOND DU LAC ,TOWN OF FOREST,TOWN OF FOREST Wards 1-2,662,485,141,5,22,4,1,0,0,4,0,0,0,0,0,0,0,0,,670,485,141,5,22,4,1,0,0,4,0,0,0,0,0,0,0,8
FOND DU LAC ,TOWN OF FRIENDSHIP,TOWN OF FRIENDSHIP Wards 1-3,1412,931,424,5,33,18,0,0,0,1,0,0,0,0,0,0,0,0,,1422,931,425,5,33,18,0,0,0,1,0,0,0,0,0,0,0,9
FOND DU LAC ,TOWN OF LAMARTINE,TOWN OF LAMARTINE Wards 1-2,1018,722,243,2,35,6,0,1,0,9,0,0,0,0,0,0,0,0,,1021,722,243,2,35,6,0,1,0,9,0,0,0,0,0,0,0,3
FOND DU LAC ,TOWN OF MARSHFIELD,TOWN OF MARSHFIELD Wards 1-2,643,444,168,7,22,2,0,0,0,0,0,0,0,0,0,0,0,0,,650,444,168,7,22,2,0,0,0,1,0,0,0,0,0,0,0,6
FOND DU LAC ,TOWN OF METOMEN,TOWN OF METOMEN Wards 1-2,400,282,88,2,23,3,0,0,0,2,0,0,0,0,0,0,0,0,,401,282,87,2,23,3,0,0,0,2,0,0,0,0,0,0,0,2
FOND DU LAC ,TOWN OF OAKFIELD,TOWN OF OAKFIELD Wards 1-2,375,259,97,2,9,3,1,2,0,2,0,0,0,0,0,0,0,0,,379,259,97,2,9,3,1,2,0,3,0,0,0,0,0,0,0,3
FOND DU LAC ,TOWN OF OSCEOLA,TOWN OF OSCEOLA Wards 1-2,1090,804,251,1,24,6,1,0,0,3,0,0,0,0,0,0,0,0,,1092,801,251,1,24,6,1,0,0,3,0,0,0,0,0,0,0,5
FOND DU LAC ,TOWN OF RIPON,TOWN OF RIPON Wards 1-2,781,479,250,1,34,13,1,1,0,2,0,0,0,0,0,0,0,0,,787,479,251,1,34,13,1,1,0,3,0,0,0,0,0,0,0,4
FOND DU LAC ,TOWN OF ROSENDALE,TOWN OF ROSENDALE Ward 1,403,284,99,2,12,4,0,0,0,2,0,0,0,0,0,0,0,0,,405,284,99,2,12,4,0,0,0,2,0,0,0,0,0,0,0,2
FOND DU LAC ,TOWN OF SPRINGVALE,TOWN OF SPRINGVALE Ward 1,385,282,91,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,,389,282,91,3,6,3,0,0,0,2,0,0,0,0,0,0,0,2
FOND DU LAC ,TOWN OF TAYCHEEDAH,TOWN OF TAYCHEEDAH Wards 1-5,2799,1822,857,5,86,16,0,0,0,13,0,0,0,0,0,0,0,0,,2817,1818,856,5,85,16,0,0,0,13,0,0,0,0,0,0,0,24
FOND DU LAC ,TOWN OF WAUPUN,TOWN OF WAUPUN Wards 1-2,778,548,201,6,14,7,0,0,0,2,0,0,0,0,0,0,0,0,,787,548,201,6,14,7,0,0,0,5,0,0,0,0,0,0,0,6
FOND DU LAC ,VILLAGE OF BRANDON,VILLAGE OF BRANDON Ward 1,435,293,113,4,21,3,1,0,0,0,0,0,0,0,0,0,0,0,,438,293,113,4,21,3,1,0,0,0,0,0,0,0,0,0,0,3
FOND DU LAC ,VILLAGE OF CAMPBELLSPORT,VILLAGE OF CAMPBELLSPORT Wards 1-4,960,644,242,6,48,15,0,2,0,3,0,0,0,0,0,0,0,0,,968,643,242,6,48,15,0,2,0,3,0,0,0,0,0,0,0,9
FOND DU LAC ,VILLAGE OF EDEN,VILLAGE OF EDEN Ward 1,396,279,101,1,11,4,0,0,0,0,0,0,0,0,0,0,0,0,,396,278,101,1,11,4,0,0,0,0,0,0,0,0,0,0,0,1
FOND DU LAC ,VILLAGE OF FAIRWATER,VILLAGE OF FAIRWATER Ward 1,163,111,43,1,6,0,0,0,0,2,0,0,0,0,0,0,0,0,,163,111,43,1,6,0,0,0,0,1,0,0,0,0,0,0,0,1
FOND DU LAC ,VILLAGE OF KEWASKUM,VILLAGE OF KEWASKUM Ward 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOND DU LAC ,VILLAGE OF MOUNT CALVARY,VILLAGE OF MOUNT CALVARY Ward 1,302,203,71,5,17,5,1,0,0,0,0,0,0,0,0,0,0,0,,304,203,71,5,17,5,1,0,0,0,0,0,0,0,0,0,0,2
FOND DU LAC ,VILLAGE OF NORTH FOND DU LAC,VILLAGE OF NORTH FOND DU LAC Wards 1-7,2344,1230,979,6,104,17,1,2,0,4,1,0,0,0,0,0,0,0,,2372,1229,978,6,104,17,1,2,0,6,1,0,0,0,0,0,0,28
FOND DU LAC ,VILLAGE OF OAKFIELD,VILLAGE OF OAKFIELD Wards 1-2,590,383,180,1,16,8,0,0,0,2,0,0,0,0,0,0,0,0,,593,383,180,1,16,8,0,0,0,2,0,0,0,0,0,0,0,3
FOND DU LAC ,VILLAGE OF ROSENDALE,VILLAGE OF ROSENDALE Wards 1-2,576,397,159,1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,,578,397,159,1,17,2,0,0,0,1,0,0,0,0,0,0,0,1
FOND DU LAC ,VILLAGE OF ST. CLOUD,VILLAGE OF ST. CLOUD Ward 1,321,213,87,3,16,2,0,0,0,0,0,0,0,0,0,0,0,0,,322,213,87,3,16,2,0,0,0,0,0,0,0,0,0,0,0,1
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 1,714,381,288,4,33,8,0,0,0,0,0,0,0,0,0,0,0,0,,719,381,288,4,33,8,0,0,0,0,0,0,0,0,0,0,0,5
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 2,611,295,291,2,18,4,0,0,0,1,0,0,0,0,0,0,0,0,,615,295,291,2,18,4,0,0,0,1,0,0,0,0,0,0,0,4
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 3,1060,544,463,6,33,9,1,0,0,3,1,0,0,0,0,0,0,0,,1069,544,463,6,33,9,1,0,0,4,1,0,0,0,0,0,0,8
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 4,716,345,311,3,46,7,3,0,0,1,0,0,0,0,0,0,0,0,,725,345,311,3,46,7,3,0,0,2,0,0,0,0,0,0,0,8
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 5,1088,523,500,5,43,9,0,0,0,8,0,0,0,0,0,0,0,0,,1102,522,501,5,43,9,0,0,0,8,0,0,0,0,0,0,0,14
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 6,912,490,363,6,39,10,1,0,0,2,0,0,0,0,1,0,0,0,,931,490,363,6,39,10,1,0,0,4,0,0,0,0,1,0,0,17
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 7,730,399,296,4,23,6,0,2,0,0,0,0,0,0,0,0,0,0,,735,399,296,4,23,6,0,2,0,0,0,0,0,0,0,0,0,5
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 8,937,463,393,5,48,21,1,0,0,5,0,0,0,1,0,0,0,0,,951,463,393,5,48,21,1,0,0,5,0,0,0,1,0,0,0,14
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 9,680,317,322,5,26,6,0,1,0,3,0,0,0,0,0,0,0,0,,689,318,324,5,26,6,0,1,0,3,0,0,0,0,0,0,0,6
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 10,928,470,385,7,46,12,0,1,0,7,0,0,0,0,0,0,0,0,,942,471,385,7,46,12,0,1,0,7,0,0,0,0,0,0,0,13
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 11,507,233,230,1,28,10,0,0,0,5,0,0,0,0,0,0,0,0,,513,233,230,1,28,10,0,0,0,4,0,0,0,0,0,0,0,7
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 12,906,429,415,3,42,13,1,0,0,3,0,0,0,0,0,0,0,0,,918,429,415,3,42,13,1,0,0,3,0,0,0,0,0,0,0,12
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 13,575,293,227,3,36,14,0,0,0,2,0,0,0,0,0,0,0,0,,586,293,227,3,36,14,0,0,0,3,0,0,0,0,0,0,0,10
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 14,983,523,405,5,37,11,1,1,0,0,0,0,0,0,0,0,0,0,,990,521,404,5,37,11,1,1,0,6,0,0,0,0,0,0,0,4
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 15,633,363,247,2,16,1,0,0,0,4,0,0,0,0,0,0,0,0,,638,363,247,2,16,1,0,0,0,5,0,0,0,0,0,0,0,4
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 16,652,340,275,3,24,9,0,0,0,1,0,0,0,0,0,0,0,0,,662,340,274,3,24,9,0,0,0,3,0,0,0,0,0,0,0,9
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 17,166,89,67,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,,168,89,67,0,9,1,0,0,0,0,0,0,0,0,0,0,0,2
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 18,66,43,19,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,,66,43,19,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 19,703,358,286,2,37,15,1,2,0,2,0,0,0,0,0,0,0,0,,710,358,286,2,37,15,1,2,0,4,0,0,0,0,0,0,0,5
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 21,957,511,384,5,44,7,1,0,0,5,0,0,0,0,0,0,0,0,,964,511,384,5,44,7,1,0,0,5,0,0,0,0,0,0,0,7
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 22,1075,602,427,4,26,7,1,1,0,5,0,0,0,2,0,0,0,0,,1086,602,425,4,26,7,1,1,0,5,0,0,0,1,0,0,0,14
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 23,1041,596,390,4,43,7,0,1,0,0,0,0,0,0,0,0,0,0,,1061,595,395,4,43,7,0,1,0,7,0,0,0,0,0,0,0,9
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 24,1149,605,478,4,44,5,0,0,0,13,0,0,0,0,0,0,0,0,,1157,604,478,4,44,5,0,0,0,6,0,0,0,0,0,0,0,16
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 25,1291,778,434,2,52,10,1,1,0,13,0,0,0,0,0,0,0,0,,1307,778,434,2,52,10,1,1,0,14,0,0,0,0,0,0,0,15
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOND DU LAC ,CITY OF FOND DU LAC,CITY OF FOND DU LAC Ward 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOND DU LAC ,CITY OF RIPON,CITY OF RIPON Ward 1-3,851,458,342,5,28,12,3,0,0,3,0,0,0,0,0,0,0,0,,861,457,342,5,28,12,3,0,0,3,0,0,0,0,0,0,0,11
FOND DU LAC ,CITY OF RIPON,CITY OF RIPON Ward 4-6,942,414,461,0,48,15,1,0,0,3,0,0,0,0,0,0,0,0,,949,413,461,0,48,14,1,0,0,3,0,0,0,0,0,0,0,9
FOND DU LAC ,CITY OF RIPON,CITY OF RIPON Wards 7-8,836,414,363,6,44,6,0,0,0,3,0,0,0,0,0,0,0,0,,843,413,363,6,44,6,0,0,0,3,0,0,0,0,0,0,0,8
FOND DU LAC ,CITY OF RIPON,CITY OF RIPON Ward 9-11,993,534,400,7,34,12,0,0,0,6,0,0,0,0,0,0,0,0,,1005,534,401,7,34,12,0,0,0,10,0,0,0,0,0,0,0,7
FOND DU LAC ,CITY OF WAUPUN,CITY OF WAUPUN Wards 9-12,1802,1157,540,12,63,6,2,2,0,20,0,0,0,0,0,0,0,0,,1821,1157,540,12,63,6,2,2,0,20,0,0,0,0,0,0,0,19
FOND DU LAC ,CITY OF WAUPUN,CITY OF WAUPUN Ward 9B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOREST ,TOWN OF ALVIN,TOWN OF ALVIN Ward 1,101,70,28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,100,69,28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
FOREST ,TOWN OF ARGONNE,TOWN OF ARGONNE Wards 1-3,272,187,71,4,4,4,0,1,0,1,0,0,0,0,0,0,0,0,,272,187,71,4,4,4,0,1,0,1,0,0,0,0,0,0,0,0
FOREST ,TOWN OF ARMSTRONG CREEK,TOWN OF ARMSTRONG CREEK Ward 1,225,155,65,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,,223,154,64,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2
FOREST ,TOWN OF BLACKWELL,TOWN OF BLACKWELL Ward 1,59,37,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,,59,37,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
FOREST ,TOWN OF CASWELL,TOWN OF CASWELL Ward 1,47,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,47,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOREST ,TOWN OF CRANDON,TOWN OF CRANDON Wards 1-3,329,205,116,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,,329,205,116,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
FOREST ,TOWN OF FREEDOM,TOWN OF FREEDOM Ward 1,223,143,75,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,222,143,74,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
FOREST ,TOWN OF HILES,TOWN OF HILES Ward 1,255,161,89,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,,255,161,89,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2
FOREST ,TOWN OF LAONA,TOWN OF LAONA Wards 1-3,601,359,213,3,17,0,1,1,0,2,0,0,0,0,0,0,0,5,,601,359,213,3,17,0,1,1,0,2,0,0,0,0,0,0,0,5
FOREST ,TOWN OF LINCOLN,TOWN OF LINCOLN Wards 1-3,509,292,206,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,,509,292,206,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3
FOREST ,TOWN OF NASHVILLE,TOWN OF NASHVILLE Ward 1,207,145,50,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,,207,145,49,2,6,4,0,0,0,0,0,0,0,0,0,0,0,1
FOREST ,TOWN OF NASHVILLE,TOWN OF NASHVILLE Ward 2,157,27,120,1,3,5,0,0,0,0,0,0,0,0,0,0,0,1,,157,27,120,1,3,5,0,0,0,0,0,0,0,0,0,0,0,1
FOREST ,TOWN OF NASHVILLE,TOWN OF NASHVILLE Ward 3,219,142,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,218,142,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FOREST ,TOWN OF POPPLE RIVER,TOWN OF POPPLE RIVER Ward 1,24,10,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,10,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FOREST ,TOWN OF ROSS,TOWN OF ROSS Ward 1,72,57,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,71,57,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
FOREST ,TOWN OF WABENO,TOWN OF WABENO Wards 1-5,456,261,169,1,14,6,0,0,0,0,0,0,0,0,0,0,0,5,,464,260,169,1,18,11,0,0,0,0,0,0,0,0,0,0,0,5
FOREST ,CITY OF CRANDON,CITY OF CRANDON Wards 1-4,784,502,253,2,13,8,0,1,0,0,0,0,0,0,0,0,0,5,,787,504,253,2,13,9,0,1,0,2,0,0,0,0,0,0,0,3
GRANT ,TOWN OF BEETOWN,TOWN OF BEETOWN Ward 1,311,217,79,1,11,1,1,0,0,0,0,0,0,0,0,0,0,1,,310,216,79,1,11,1,1,0,0,0,0,0,0,0,0,0,0,1
GRANT ,TOWN OF BLOOMINGTON,TOWN OF BLOOMINGTON Ward 1,201,142,48,0,6,1,0,1,0,1,0,0,0,0,0,0,0,2,,205,142,53,0,6,1,0,0,0,0,0,0,0,0,0,0,0,3
GRANT ,TOWN OF BOSCOBEL,TOWN OF BOSCOBEL Wards 1-2,181,89,82,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,,183,90,82,1,6,2,0,0,0,1,0,0,0,0,0,0,0,1
GRANT ,TOWN OF CASSVILLE,TOWN OF CASSVILLE Ward 1,189,123,59,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,,190,123,59,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2
GRANT ,TOWN OF CASTLE ROCK,TOWN OF CASTLE ROCK Ward 1,146,87,47,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,,146,87,47,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0
GRANT ,TOWN OF CLIFTON,TOWN OF CLIFTON Wards 1-2,131,63,59,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,,131,63,59,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1
GRANT ,TOWN OF ELLENBORO,TOWN OF ELLENBORO Ward 1,285,178,96,1,4,5,0,0,0,0,0,0,0,0,0,0,0,1,,284,178,95,1,4,5,0,0,0,0,0,0,0,0,0,0,0,1
GRANT ,TOWN OF FENNIMORE,TOWN OF FENNIMORE Wards 1-2,243,152,73,3,8,3,0,0,0,0,0,0,0,0,0,0,0,4,,242,152,73,3,8,3,0,0,0,0,0,0,0,0,0,0,0,3
GRANT ,TOWN OF GLEN HAVEN,TOWN OF GLEN HAVEN Ward 1,185,127,50,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,,185,127,50,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0
GRANT ,TOWN OF HARRISON,TOWN OF HARRISON Ward 1,263,160,90,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,259,157,87,3,10,0,0,0,0,0,0,0,0,0,0,0,0,2
GRANT ,TOWN OF HAZEL GREEN,TOWN OF HAZEL GREEN Ward 1-2,629,285,315,3,21,4,1,0,0,0,0,0,0,0,0,0,0,0,,635,286,315,3,21,4,1,0,0,4,1,0,0,0,0,0,0,0
GRANT ,TOWN OF HICKORY GROVE,TOWN OF HICKORY GROVE Ward 1,171,105,59,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,,174,105,59,0,5,1,0,0,0,1,0,0,0,0,0,0,0,3
GRANT ,TOWN OF JAMESTOWN,TOWN OF JAMESTOWN Wards 1-3,1035,643,347,4,29,12,0,0,0,0,0,0,0,0,0,0,0,0,,1049,644,349,6,31,14,2,1,0,0,0,0,0,0,0,0,0,2
GRANT ,TOWN OF LIBERTY,TOWN OF LIBERTY Ward 1,236,145,73,1,14,0,0,0,0,0,0,0,0,0,0,0,0,3,,234,145,72,1,14,0,0,0,0,0,0,0,0,0,0,0,0,2
GRANT ,TOWN OF LIMA,TOWN OF LIMA Ward 1,350,186,139,5,12,4,2,1,0,0,0,0,0,0,0,0,0,1,,348,185,138,5,12,4,2,1,0,0,0,0,0,0,0,0,0,1
GRANT ,TOWN OF LITTLE GRANT,TOWN OF LITTLE GRANT Ward 1,139,90,46,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,141,90,46,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2
GRANT ,TOWN OF MARION,TOWN OF MARION Ward 1,229,141,76,1,4,2,0,0,0,1,0,0,0,0,0,0,0,4,,225,141,76,1,4,2,0,0,0,0,0,0,0,0,0,0,0,1
GRANT ,TOWN OF MILLVILLE,TOWN OF MILLVILLE Ward 1,94,47,41,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,,95,47,41,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1
GRANT ,TOWN OF MOUNT HOPE,TOWN OF MOUNT HOPE Ward 1,104,68,32,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,,103,68,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
GRANT ,TOWN OF MOUNT IDA,TOWN OF MOUNT IDA Ward 1,268,172,84,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,,269,172,82,1,9,2,0,0,0,0,0,0,0,0,0,0,0,3
GRANT ,TOWN OF MUSCODA,TOWN OF MUSCODA Ward 1,305,191,100,0,8,4,1,0,0,0,0,0,0,0,0,0,0,1,,302,190,98,0,5,7,1,0,0,0,0,0,0,0,0,0,0,1
GRANT ,TOWN OF NORTH LANCASTER,TOWN OF NORTH LANCASTER Wards 1-2,266,182,77,0,2,1,0,2,0,0,0,0,0,0,0,0,0,2,,267,183,77,0,2,1,0,2,0,0,0,0,0,0,0,0,0,2
GRANT ,TOWN OF PARIS,TOWN OF PARIS Wards 1-2,374,238,125,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,,376,237,125,0,9,2,0,0,0,0,0,0,0,0,0,0,0,3
GRANT ,TOWN OF PATCH GROVE,TOWN OF PATCH GROVE Ward 1,173,92,63,0,12,5,1,0,0,0,0,0,0,0,0,0,0,0,,173,92,63,0,12,5,1,0,0,0,0,0,0,0,0,0,0,0
GRANT ,TOWN OF PLATTEVILLE,TOWN OF PLATTEVILLE Wards 1-3,802,400,352,4,32,5,1,1,0,4,0,0,0,0,0,0,0,3,,803,396,352,4,33,6,1,0,0,4,0,0,0,0,0,0,0,7
GRANT ,TOWN OF POTOSI,TOWN OF POTOSI Ward 1,427,247,158,3,13,1,1,3,0,0,0,0,0,0,0,0,0,1,,425,246,157,3,13,1,1,0,0,0,0,0,0,0,0,0,0,4
GRANT ,TOWN OF SMELSER,TOWN OF SMELSER Wards 1-2,445,245,180,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,,451,245,180,0,17,3,0,0,0,0,0,0,0,0,0,0,0,6
GRANT ,TOWN OF SOUTH LANCASTER,TOWN OF SOUTH LANCASTER Wards 1-3,315,184,117,2,8,1,0,0,0,0,0,0,0,0,0,0,0,3,,316,184,118,2,8,1,0,0,0,0,0,0,0,0,0,0,0,3
GRANT ,TOWN OF WATERLOO,TOWN OF WATERLOO Ward 1,260,159,86,4,6,2,0,0,0,0,0,0,0,0,0,0,0,3,,263,157,88,4,6,5,0,0,0,0,0,0,0,0,0,0,0,3
GRANT ,TOWN OF WATTERSTOWN,TOWN OF WATTERSTOWN Wards 1-2,163,91,65,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,,163,91,65,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3
GRANT ,TOWN OF WINGVILLE,TOWN OF WINGVILLE Ward 1,148,80,60,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,,150,80,60,1,3,4,0,0,0,0,0,0,0,0,0,0,0,2
GRANT ,TOWN OF WOODMAN,TOWN OF WOODMAN Ward 1,82,55,24,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,82,55,24,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
GRANT ,TOWN OF WYALUSING,TOWN OF WYALUSING Ward 1,197,107,77,1,5,1,1,0,0,0,0,0,0,0,0,0,0,5,,198,107,77,1,5,1,1,0,0,0,0,0,0,0,0,0,0,6
GRANT ,VILLAGE OF BAGLEY,VILLAGE OF BAGLEY Ward 1,194,92,84,2,8,4,0,0,0,0,0,0,0,0,0,0,0,4,,194,92,84,2,8,4,0,0,0,0,0,0,0,0,0,0,0,4
GRANT ,VILLAGE OF BLOOMINGTON,VILLAGE OF BLOOMINGTON Ward 1,364,206,132,1,15,1,1,2,0,0,0,0,0,0,0,0,0,6,,362,203,134,1,15,1,1,2,0,0,0,0,0,0,0,0,0,5
GRANT ,VILLAGE OF BLUE RIVER,VILLAGE OF BLUE RIVER Ward 1,187,91,84,8,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,187,91,84,0,8,2,0,0,0,0,0,0,0,0,0,0,0,2
